Labels,Linear,Ridge,Lasso
Intercept,0.7288720141184977,0.7287364683408454,0.6072732911800338
Cement,0.5038336984876551,0.5037031948808262,0.38277518048702236
Blast Furnace Slag,0.31776510879757386,0.317648886326341,0.20760533212535626
Fly Ash,-0.19967827493703622,-0.19977064897376165,-0.267251362173959
Water,0.11567051798565542,0.11566862965094261,0.1125923199009651
Superplasticizer,0.08493403511659758,0.08483930291202056,0.0
Coarse Aggregate,0.06673233792106525,0.06661371669730838,-0.0238794496084569
Fine Aggregate,0.44385623963332294,0.4438441031362575,0.4249670743522882
Age (day),2.273958606660306e-16,2.2746274061602873e-16,2.7558914675788237e-16
Test MSE,0.4444234800359259,0.44442573529864327,0.4461974040383291
Test R2 Score,0.5732161868625566,0.5732140211137486,0.5715126718954795
