Labels,Linear,Ridge,Lasso
Intercept,0.016228941870178617,0.017834793779998574,0.015041253463390246
Feature 1,-0.5346228520400917,-0.5283062991462937,-0.5240499957485443
Feature 2,0.040723969303493736,0.03818176807855913,0.03493700562222583
Feature 3,0.04971001721233405,0.05315024024240746,0.05380213867659518
Feature 4,-0.024113426026765215,-0.022341450736743824,-0.00948237556143231
Feature 5,0.06088047669264024,0.062377364560935046,0.060727215832430105
Feature 6,-0.29729755805788227,-0.293369223645458,-0.2850614990807513
Feature 7,0.000517084700801699,-0.0012771725324489233,0.0
Feature 8,0.41122878571019944,0.40643644044311217,0.3990831288814996
Feature 9,0.43151979170520843,0.42931717787733503,0.42388835309239903
Feature 10,0.33301159437293937,0.3301507261990634,0.32244380628407565
Feature 11,0.016133944846585476,0.014875853484052036,0.008217712859263392
Feature 12,-0.06285716220505237,-0.05860288785952374,-0.05618042289418414
Feature 13,0.06773026683332631,0.06705793247021642,0.06619704437517004
Feature 14,0.04959814337782796,0.047953022581091485,0.0477091302888579
Feature 15,-4.94636470998226e-05,0.0006431769850653458,-0.0003831636697650476
Test MSE,0.03522444920902095,0.03731259404567314,0.039761497742818994
Test R2 Score,0.9605910370411594,0.9582548295384672,0.9555150065672715
