Labels,Linear,Linear_GD,Ridge,Ridge_GD,Lasso_CD
Intercept,0.7288720141184972,0.559257449969127,0.7287364683408486,0.559257449969127,0.7285328367993249
Cement,0.5038336984876544,0.33982546494234994,0.5037031948808283,0.33982546494234994,0.5035002970587322
Blast Furnace Slag,0.3177651087975726,0.17283807712625004,0.31764888632634336,0.17283807712625002,0.3174742864630418
Fly Ash,-0.19967827493703663,-0.33983302256820164,-0.19977064897375849,-0.33983302256820164,-0.19993778904534049
Water,0.11567051798565556,0.10066343339960963,0.11566862965094314,0.10066343339960965,0.11563616438642592
Superplasticizer,0.08493403511659774,-0.04599340036243682,0.08483930291202246,-0.04599340036243681,0.08466813340257498
Coarse Aggregate,0.06673233792106462,-0.09451954216930779,0.06661371669731078,-0.09451954216930779,0.06641180148715363
Fine Aggregate,0.443856239633323,0.4374091880714314,0.44384410313625755,0.4374091880714314,0.4438252623814043
Age (day),2.484598912291135e-16,3.245745096639888e-16,2.4853192336701973e-16,3.23312035180889e-16,9.90712366513201e-16
Test MSE,0.444423480035926,0.4548013923152599,0.44442573529864343,0.45480139231526,0.4444285862610935
Test R2 Score,0.5732161868625565,0.5632501855733762,0.5732140211137484,0.5632501855733761,0.5732112833091989
