Labels,Linear,Linear_GD,Ridge,Ridge_GD,Lasso_CD
Intercept,-0.012742573342195085,-0.01274257334210801,-0.012689126495560976,-0.008422327651000613,-0.012252101853883878
Feature 1,-0.5977517450562516,-0.5977517450561938,-0.5976253808551812,-0.5948484666038248,-0.597432335721517
Feature 2,0.00149047600054375,0.0014904760006680454,0.0015551892020393976,0.007737718770320743,0.0014938307751777527
Feature 3,0.2258731137481501,0.22587311374775176,0.22561856259409074,0.20585485776878745,0.22506779743428193
Feature 4,-0.01237120848472275,-0.012371208484761522,-0.012384949136203416,-0.01431570936662692,-0.012242646696999673
Feature 5,-0.005824274787206166,-0.005824274787096208,-0.005734341145974695,-0.0002670464064750926,-0.005344810278191869
Feature 6,-0.36714629867510284,-0.36714629867506,-0.36703389364974004,-0.36497994060921174,-0.3669626185222463
Feature 7,0.0005703141522289124,0.0005703141522143935,0.0005654328052663721,-0.00014316686780157538,0.0002602777246564919
Feature 8,0.468363900461879,0.4683639004618361,0.46825231123800437,0.4662475606890721,0.4681117928249692
Feature 9,0.4537252636806134,0.4537252636806167,0.45366603628279606,0.45381352533630287,0.45372659873044846
Feature 10,0.3789863759358101,0.3789863759357581,0.3788954945300142,0.3763973320201526,0.3787291355390638
Feature 11,-0.0028284167655753117,-0.002828416765494635,-0.002791530664396885,0.0012206241644461403,-0.00258320923564889
Feature 12,-0.016402063133918177,-0.016402063134026364,-0.01646543974225717,-0.02185848340458972,-0.016292870811596145
Feature 13,0.002608452156679264,0.002608452156722197,0.002681360900626928,0.004792447164478305,0.002570826600396374
Feature 14,0.004546315027616599,0.0045463150276714975,0.004603163761285389,0.007340212914206335,0.0044703006724997945
Feature 15,9.040730017461695e-17,5.115352585960411e-17,9.038054996216637e-17,5.2100684877487496e-17,-4.874572967494828e-16
Test MSE,0.0019372109275486425,0.0019372109275554172,0.0019480844470239754,0.002411533772892586,0.0019562810816244427
Test R2 Score,0.9978326567085775,0.9978326567085699,0.9978204914615443,0.9973019863400567,0.9978113211018478
